start job on SBATCH:c23 size7 run540 max_process:/max_trial:1000000 Thu Jul 2 17:32:02 PDT 2020
SLURM_JOB_ID:1697233 SLURM_JOB_NAME:product SLURM_JOB_DIR:/rhome/wzeng002/Documents/GitHub/concatenation
note:[n_low=9, n_high=9, k_low=1, k_high=1 sub_mode=], sub_mode_A:3, sub_mode_B:4, na_input:7, n_low:9, n_high=9, data_folder:data/random4/trial540, log_file:log/product540-size7.log status_file:
start: id_Gax=1000,	 id_Gax_MAX=1023,	 Gax_row=2
start: id_Gax=1000,	 id_Gax_MAX=1023,	 Gax_row=2
start: id_Gax=2000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=2000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=1000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=1000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=3000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=3000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=4000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=4000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=2000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=1000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=3000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=2000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=1000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=4000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=3000,	 id_Gax_MAX=4095,	 Gax_row=4
52000, 0% finished. total: 86192656, remaining time:6.93269 min
54000, 0% finished. total: 86192656, remaining time:6.89577 min
56000, 0% finished. total: 86192656, remaining time:6.83638 min
58000, 0% finished. total: 86192656, remaining time:6.78885 min
60000, 0% finished. total: 86192656, remaining time:6.70047 min
62000, 0% finished. total: 86192656, remaining time:6.6122 min
64000, 0% finished. total: 86192656, remaining time:6.49556 min
66000, 0% finished. total: 86192656, remaining time:6.40658 min
68000, 0% finished. total: 86192656, remaining time:6.31984 min
70000, 0% finished. total: 86192656, remaining time:6.2336 min
72000, 0% finished. total: 86192656, remaining time:6.14006 min
74000, 0% finished. total: 86192656, remaining time:6.04221 min
76000, 0% finished. total: 86192656, remaining time:5.95061 min
78000, 0% finished. total: 86192656, remaining time:5.85752 min
80000, 0% finished. total: 86192656, remaining time:5.76555 min
82000, 0% finished. total: 86192656, remaining time:5.68488 min
84000, 0% finished. total: 86192656, remaining time:5.60839 min
86000, 0% finished. total: 86192656, remaining time:5.52728 min
88000, 0% finished. total: 86192656, remaining time:5.44525 min
90000, 0% finished. total: 86192656, remaining time:5.36625 min
92000, 0% finished. total: 86192656, remaining time:5.27853 min
94000, 0% finished. total: 86192656, remaining time:5.18956 min
96000, 0% finished. total: 86192656, remaining time:5.10018 min
98000, 0% finished. total: 86192656, remaining time:5.01326 min
100000, 0% finished. total: 86192656, remaining time:4.92804 min
102000, 0% finished. total: 86192656, remaining time:4.84877 min
104000, 0% finished. total: 86192656, remaining time:4.77144 min
106000, 0% finished. total: 86192656, remaining time:4.70939 min
108000, 0% finished. total: 86192656, remaining time:319.603 min
110000, 0% finished. total: 86192656, remaining time:313.787 min
112000, 0% finished. total: 86192656, remaining time:308.178 min
114000, 0% finished. total: 86192656, remaining time:302.766 min
116000, 0% finished. total: 86192656, remaining time:297.541 min
108000, 0% finished. total: 86192656, remaining time:339.288 min
110000, 0% finished. total: 86192656, remaining time:333.169 min
112000, 0% finished. total: 86192656, remaining time:327.214 min
114000, 0% finished. total: 86192656, remaining time:321.467 min
116000, 0% finished. total: 86192656, remaining time:315.92 min
118000, 0% finished. total: 86192656, remaining time:735.501 min
120000, 0% finished. total: 86192656, remaining time:723.33 min
